PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Aaron Gordon,DEN,Versatile Big,"2,063",PF,26,,0.55,1.44,-0.89,3.9,0.21,0.29,-0.08,0.23,1.59,-1.36
Aaron Henry,PHI,Low Minute,17,SF,22,,-1.05,-0.49,-0.56,0,-0.99,-0.44,-0.55,0.01,0.01,0.02
Aaron Holiday,WAS/PHO,Slasher,943,PG,25,,-1.03,-0.97,-0.05,0.8,-1.29,-0.94,-0.35,-1.7,-0.35,-1.35
Aaron Nesmith,BOS,Stationary Shooter,473,SF,22,,-1.97,-1.8,-0.17,0.1,-2.47,-1.84,-0.63,-1.44,-0.91,-0.52
Aaron Wiggins,OKC,Athletic Finisher,"1,034",SG,23,,-2.2,-1.6,-0.61,0.1,-2.56,-2.35,-0.21,0.39,0.35,0.04
Abdel Nader,PHO,Movement Shooter,145,SF,28,,-2.48,-2.37,-0.11,0,-2.05,-1.68,-0.37,-1.17,-1.39,0.22
Ade Murkey,SAC,Low Minute,1,SG,24,,-0.26,-0.2,-0.06,0,-0.26,-0.18,-0.08,0,0,0
Admiral Schofield,ORL,Stationary Shooter,332,SF,24,,-2.13,-1.93,-0.21,0,-1.79,-1.89,0.1,0,0,0
Ahmad Caver,IND,Low Minute,1,PG,25,,-0.22,0,-0.22,0,-0.24,-0.02,-0.22,0,0,0
Al Horford,BOS,Stretch Big,"1,822",C,35,,4.33,0.71,3.61,7.9,2.8,0.39,2.41,0.77,-0.16,0.93
Alec Burks,NYK,Primary Ball Handler,"1,938",SG,30,,0.23,0.22,0.01,3.3,0.23,-0.32,0.55,-0.07,0.33,-0.39
Aleem Ford,ORL,Stationary Shooter,74,SF,24,,-0.42,-0.53,0.11,0.1,-0.31,-0.51,0.2,0,0,0
Aleksej Pokusevski,OKC,Athletic Finisher,"1,063",PF,20,,-0.05,-1.21,1.16,1.6,-1.45,-1.79,0.34,-0.88,-1.68,0.8
Alex Caruso,CHI,Stationary Shooter,915,SG,28,,1.3,-0.53,1.83,2.2,-0.03,-0.75,0.71,3.01,1.47,1.54
Alex Len,SAC,Roll + Cut Big,573,C,28,,-1.49,-2.17,0.67,0.3,-1.35,-1.99,0.64,-0.39,-0.42,0.03
Alfonzo McKinnie,CHI,Athletic Finisher,206,SF,29,,-2.52,-1.42,-1.1,0,-1.74,-1.26,-0.48,-0.99,-0.53,-0.46
Alize Johnson,CHI/WAS/NOP,Roll + Cut Big,167,PF,25,,-1.23,-0.54,-0.69,0.1,-0.93,-0.7,-0.24,-1.44,0.07,-1.51
Alperen Sengun,HOU,Post Scorer,"1,255",C,19,,-1.67,-1.04,-0.63,0.6,-0.51,-0.77,0.27,-2.2,-0.09,-2.11
Amir Coffey,LAC,Stationary Shooter,"1,409",SG,24,,-0.81,-0.43,-0.38,1.4,-1.17,-0.82,-0.35,0.06,-0.73,0.79
Andre Drummond,PHI/BRK,Roll + Cut Big,"1,204",C,28,,1.9,-0.02,1.92,3.4,1.52,-0.51,2.03,-0.09,0.42,-0.51
Andre Iguodala,GSW,Athletic Finisher,518,SF,38,,1.64,-0.2,1.84,1.4,0.88,-0.27,1.16,1.64,0.08,1.56
Andrew Wiggins,GSW,Shot Creator,"2,006",SF,27,,0.96,-0.25,1.22,4.4,1.55,0.78,0.76,1.62,0.65,0.98
Anfernee Simons,POR,Shot Creator,"1,681",SG,22,,-1.32,1.07,-2.39,1.1,-2.11,0.71,-2.83,0.72,0.5,0.22
Anthony Davis,LAL,Post Scorer,"1,298",C,29,,2.8,0.95,1.85,4.4,2.72,1.49,1.23,0.28,0.09,0.19
Anthony Edwards,MIN,Shot Creator,"2,165",SG,20,,1.21,1.12,0.09,5.1,1.19,1.41,-0.22,0.78,1.14,-0.36
Anthony Gill,WAS,Roll + Cut Big,276,PF,29,,-0.2,-0.76,0.55,0.4,-1.07,-1.06,0,0.82,0.2,0.62
Anthony Lamb,SAS,Low Minute,8,SF,24,,-0.8,-0.49,-0.31,0,-0.76,-0.43,-0.33,0,0,0
Armoni Brooks,HOU/TOR,Movement Shooter,760,SG-PG,23,,-0.22,0.82,-1.03,1.1,-1.14,-0.23,-0.91,1.57,2.07,-0.5
Arnoldas Kulboka,CHO,Low Minute,3,SF,24,,-1.1,-0.45,-0.65,0,-1.01,-0.43,-0.58,-0.24,-0.04,-0.2
Austin Reaves,LAL,Stationary Shooter,"1,201",SG,23,,-0.46,-0.58,0.11,1.5,-1.99,-1.4,-0.58,0.51,-0.4,0.91
Austin Rivers,DEN,Stationary Shooter,"1,248",SG,29,,-2.05,-0.85,-1.2,0.2,-2.04,-1.54,-0.5,-1.05,0.69,-1.74
Avery Bradley,LAL,Stationary Shooter,"1,310",SG,31,,-4.27,-3.53,-0.74,-1.6,-2.53,-2.09,-0.44,-2.48,-2.2,-0.28
