Wingspan,PlayerName,PlayerID
94,Mo Bamba,1628964
85.25,Talen Horton-Tucker,1629659
88.75,Isaiah Stewart,1630191
89.5,Robert Williams III,1629057
88.25,Montrezl Harrell,1626149
91.25,Udoka Azubuike,1628962
85,Frank Ntilikina,1628373
84,Josh Okogie,1629006
87,Kawhi Leonard,#N/A
82,Donovan Mitchell,1628378
85.25,Nassir Little,1629642
83.25,Reggie Jackson,202704
90.25,Andre Drummond,203083
91,Hassan Whiteside,202355
86.25,Kelly Oubre Jr.,1626162
90,Thomas Bryant,1628418
89.5,Anthony Davis,203076
89.25,Jarrett Allen,1628386
86.75,Jerami Grant,203924
84.75,Shake Milton,1629003
84.75,Moses Moody,1630541
89.75,DeMarcus Cousins,202326
87,Brandon Ingram,1627742
87.25,Keita Bates-Diop,1628966
83.5,Kent Bazemore,203145
86.25,OG Anunoby,1628384
87,Rudy Gay,200752
92.5,Rudy Gobert,203497
84,Scottie Lewis,1630575
79.5,Aaron Holiday,1628988
81,George Hill,201588
88.75,Kevin Durant,201142
82.75,Norman Powell,1626181
86.25,P.J. Washington,1629023
80.5,Rajon Rondo,200765
88.5,Wendell Carter Jr.,1628976
86.75,Scottie Barnes,1630567
80.75,Miles McBride,1630540
84,David Nwaba,1628021
90,DeAndre Jordan,201599
85.25,Draymond Green,203110
89.25,Jaren Jackson Jr.,1628991
87.5,Kevon Looney,1626172
85.75,Robert Covington,203496
88,Taj Gibson,201959
80.25,Terry Rozier,1626179
81.5,Bones Hyland,1630538
88,Derrick Favors,202324
79.5,Eric Bledsoe,202339
83.5,Hamidou Diallo,1628977
86.75,Kyle Anderson,203937
81.25,Marcus Smart,203935
85,Mikal Bridges,1628969
81.25,Anfernee Simons,1629014
88,Chris Boucher,1628449
86,De'Andre Hunter,1629631
90,Deandre Ayton,1629028
88.5,Dwight Howard,2730
81,Eric Gordon,201569
90,JaVale McGee,201580
83,Jeremy Lamb,203087
84.75,Naji Marshall,1630230
83.5,P.J. Tucker,200782
87.25,Pascal Siakam,1627783
83.5,Shai Gilgeous-Alexander,1628983
86,Trevor Ariza,2772
89,Isaiah Jackson,1630543
79.25,Collin Sexton,1629012
79.75,Dennis Schroder,203471
82.75,James Harden,201935
88.75,LaMarcus Aldridge,200746
82.5,Lonnie Walker IV,1629022
82.5,Malcolm Brogdon,1627763
77.75,Mike Conley,201144
82.25,Ayo Dosunmu,1630245
87.25,JT Thor,1630550
83,Andre Iguodala,2738
87.25,Bruno Fernando,1628981
79.25,Cameron Payne,1626166
79,Cassius Winston,1630216
88.5,Clint Capela,203991
81.75,D'Angelo Russell,1626156
80,Derrick Rose,201565
83.75,Jaylen Brown,1627759
81.25,John Wall,#N/A
83.5,Matisse Thybulle,1629680
87.25,Naz Reid,1629675
79,Patrick Beverley,201976
83,Romeo Langford,1629641
86,Xavier Tillman,1630214
91,Bol Bol,1629626
82.25,Caleb Martin,1628997
80.5,De'Anthony Melton,1629001
80.25,Immanuel Quickley,1630193
86.25,JaMychal Green,203210
85.25,Jeff Green,201145
88,Myles Turner,1626167
88.5,Nikola Vucevic,202696
85,Paul Millsap,200794
86,Rui Hachimura,1629060
88,Tony Bradley,1628396
84.25,Cade Cunningham,1630595
81,Anthony Edwards,1630162
86.75,Bam Adebayo,1628389
94,Boban Marjanovic,1626246
84.5,Cam Reddish,1629629
87.25,Christian Wood,1626174
79.75,Damian Lillard,203081
82,Dejounte Murray,1627749
84,Derrick Jones Jr.,1627884
78.25,Devonte' Graham,1628984
89,Jonas Valanciunas,202685
83.5,Justin Holiday,203200
85.5,Larry Nance Jr.,1626204
81,Markelle Fultz,#N/A
86,Nathan Knight,1630233
86,Onyeka Okongwu,1630168
85.5,Otto Porter Jr.,203490
81,Ricky Rubio,201937
89.5,Robin Lopez,201577
80,Saben Lee,1630240
81.25,Victor Oladipo,#N/A
81.25,Josh Christopher,1630528
86,Usman Garuba,1630586
81,Bruce Brown,1628971
83.75,Eric Paschall,1629672
87.5,Gorgui Dieng,203476
85,Isaiah Roby,1629676
84.75,James Johnson,201949
82.25,Justise Winslow,1626159
80.5,Luguentz Dort,1629652
87.75,Nerlens Noel,203457
88.5,Steven Adams,203500
80.75,Terence Davis,1629056
83.5,Thaddeus Young,201152
77.5,Trey Burke,203504
87,Charles Bassey,1629646
83,Bogdan Bogdanovic,203992
89,Brook Lopez,201572
81.25,Buddy Hield,1627741
82.25,Cody Martin,1628998
87.75,Damian Jones,1627745
80,Elfrid Payton,203901
79.5,Frank Jackson,1628402
77,Ish Smith,202397
89,James Wiseman,#N/A
76.5,Jordan McLaughlin,1629162
83.5,Tony Snell,203503
80.5,Jason Preston,#N/A
79.25,Avery Bradley,202340
83.75,Dorian Finney-Smith,1627827
87.5,Jaxson Hayes,1629637
89,Joel Embiid,203954
81.75,Josh Green,1630182
81.5,Nickeil Alexander-Walker,1629638
86,Obi Toppin,1630167
84.75,Precious Achiuwa,1630173
85.5,Richaun Holmes,1626158
80,Russell Westbrook,201566
85.25,Tristan Thompson,202684
81.25,Joshua Primo,1630563
83,Joe Wieskamp,1630580
82,Aaron Nesmith,1630174
82,Alec Burks,202692
84,Andrew Wiggins,203952
84,Chuma Okeke,1629643
86.25,Daniel Gafford,1629655
82,Devin Vassell,1630170
86.25,Jalen Smith,1630188
82,Josh Richardson,1626196
81,Kevin Porter Jr.,1629645
82,RJ Barrett,1629628
81,Royce O'Neale,1626220
83.5,Taurean Prince,1627752
83,Thanasis Antetokounmpo,203648
82.75,Troy Brown Jr.,1628972
79,Tyrese Maxey,1630178
88,Evan Mobley,1630596
82.75,Brandon Boston Jr.,1630527
84,Herbert Jones,1630529
84.75,Al Horford,201143
80,Bradley Beal,203078
82,Danny Green,201980
80,Jordan Clarkson,203903
84,Maurice Harkless,203090
85,Nicolas Batum,201587
80.75,Pat Connaughton,1626192
80.75,Theo Maledon,1630177
77,Tyus Jones,1626145
81.75,Will Barton,203115
86,Zeke Nnaji,1630192
82.5,Zion Williamson,#N/A
80.25,James Bouknight,1630547
79.75,Jaden Springer,1630531
88,Neemias Queta,1629674
86,Bobby Portis,1626171
84.5,Chimezie Metu,1629002
78.5,De'Aaron Fox,1628368
80.75,Gary Trent Jr.,1629018
84,Isaac Bonga,1629067
79.5,Isaiah Joe,1630198
88,Ivica Zubac,1627826
81.25,Jae Crowder,203109
85,Jarred Vanderbilt,1629020
82.25,Jordan Nwora,1629670
80.5,Josh Hart,1628404
87.5,Karl-Anthony Towns,1626157
81.25,Keldon Johnson,1629640
83,Luka Doncic,1629029
86.5,Nic Claxton,1629651
85.5,Paul Reed,1630194
81.75,Semi Ojeleye,1628400
81.5,Sterling Brown,1628425
83,Tobias Harris,202699
85.5,Trey Lyles,1626168
84,Trey Murphy III,1630530
84.25,Jalen Johnson,1630552
88,Dewayne Dedmon,203473
85.25,Isaiah Todd,1630225
83.75,Aaron Gordon,203932
79.75,Ben McLemore,203463
82,Caris LeVert,1627747
84,Darius Bazley,1629647
79.5,Derrick White,1628401
78.75,Gary Harris,203914
79.25,Grayson Allen,1628960
83.25,Harrison Barnes,203084
81.5,Jarrett Culver,1629633
84,Julius Randle,203944
77,Kira Lewis Jr.,1630184
84.25,Kyle Kuzma,1628398
81.5,Miles Bridges,1628970
76.25,Davion Mitchell,1630558
83.25,Jonathan Kuminga,1630228
87.5,Alex Len,203458
83,Cedi Osman,1626224
78.25,CJ McCollum,203468
77,Darius Garland,1629636
87,Giannis Antetokounmpo,203507
79,Goran Dragic,201609
81.75,Grant Williams,1629684
80,Jae'Sean Tate,1630256
79.25,Jaylen Nowell,1629669
76.25,Jevon Carter,1628975
75.5,Kemba Walker,202689
83.75,Kevin Knox II,1628995
82.75,Khris Middleton,203114
83,Patrick Williams,1630172
83,Saddiq Bey,1630180
87,Serge Ibaka,201586
79.5,Trent Forrest,1630235
85,Vernon Carey Jr.,1630176
80,Quentin Grimes,1629656
